Hodnota,Pocet Vyskytu,Kumulativni cetnost,Relativni cetnost,CDF,PDF
0,10455,10455,6970,6970,0.386524260437862
0.01,704,11159,7439.33333333333,469.333333333333,0.389476273751103
0.02,728,11887,7924.66666666667,485.333333333333,0.392040794003706
0.03,528,12415,8276.66666666667,352,0.394209893191998
0.04,397,12812,8541.33333333333,264.666666666667,0.395976838359957
0.05,321,13133,8755.33333333333,214,0.397336126418057
0.06,290,13423,8948.66666666667,193.333333333333,0.39828351269822
0.07,231,13654,9102.66666666667,154,0.398816033037501
0.08,211,13865,9243.33333333333,140.666666666667,0.398932019229713
0.09,156,14021,9347.33333333333,104,0.398631107732276
0.1,152,14173,9448.66666666667,101.333333333333,0.39791424156467
0.11,145,14318,9545.33333333333,96.6666666666667,0.39678366538465
0.12,146,14464,9642.66666666667,97.3333333333333,0.395242913778163
0.13,124,14588,9725.33333333333,82.6666666666667,0.393296792848498
0.14,101,14689,9792.66666666667,67.3333333333333,0.390951355238857
0.15,88,14777,9851.33333333333,58.6666666666667,0.388213868770025
0.16,85,14862,9908,56.6666666666667,0.385092778920559
0.17,73,14935,9956.66666666667,48.6666666666667,0.381597665420563
0.18,53,14988,9992,35.3333333333333,0.377739193271232
0.19,80,15068,10045.3333333333,53.3333333333333,0.373529058540595
0.2,68,15136,10090.6666666667,45.3333333333333,0.368979929320882
0.21,55,15191,10127.3333333333,36.6666666666667,0.364105382264462
0.22,54,15245,10163.3333333333,36,0.358919835142976
0.23,49,15294,10196,32.6666666666667,0.353438475898043
0.24,37,15331,10220.6666666667,24.6666666666667,0.347677188671388
0.25,45,15376,10250.6666666667,30,0.341652477317552
0.26,49,15425,10283.3333333333,32.6666666666667,0.335381386913103
0.27,44,15469,10312.6666666667,29.3333333333333,0.328881423782755
0.28,45,15514,10342.6666666667,30,0.322170474564738
0.29,40,15554,10369.3333333333,26.6666666666667,0.315266724835481
0.3,52,15606,10404,34.6666666666667,0.308188577806971
0.31,36,15642,10428,24,0.300954573599493
0.32,33,15675,10450,22,0.293583309577737
0.33,24,15699,10466,16,0.286093362219888
0.34,20,15719,10479.3333333333,13.3333333333333,0.278503210967484
0.35,28,15747,10498,18.6666666666667,0.270831164478747
0.36,32,15779,10519.3333333333,21.3333333333333,0.263095289680236
0.37,17,15796,10530.6666666667,11.3333333333333,0.255313343981187
0.38,29,15825,10550,19.3333333333333,0.247502710982267
0.39,18,15843,10562,12,0.239680339976002
0.4,20,15863,10575.3333333333,13.3333333333333,0.231862689500171
0.41,27,15890,10593.3333333333,18,0.224065675168476
0.42,24,15914,10609.3333333333,16,0.216304621964995
0.43,9,15923,10615.3333333333,6,0.208594221150902
0.44,18,15941,10627.3333333333,12,0.200948491893842
0.45,21,15962,10641.3333333333,14,0.19338074769268
0.46,27,15989,10659.3333333333,18,0.185903567633344
0.47,13,16002,10668,8.66666666666667,0.178528772475564
0.48,7,16009,10672.6666666667,4.66666666666667,0.171267405535621
0.49,15,16024,10682.6666666667,10,0.164129718297228
0.5,9,16033,10688.6666666667,6,0.157125160651401
0.51,11,16044,10696,7.33333333333333,0.150262375637053
0.52,11,16055,10703.3333333333,7.33333333333333,0.143549198527091
0.53,12,16067,10711.3333333333,8,0.13699266008025
0.54,15,16082,10721.3333333333,10,0.130598993756903
0.55,19,16101,10734,12.6666666666667,0.124373646677635
0.56,12,16113,10742,8,0.118321294086651
0.57,10,16123,10748.6666666667,6.66666666666667,0.112445857068038
0.58,7,16130,10753.3333333333,4.66666666666667,0.106750523251576
0.59,8,16138,10758.6666666667,5.33333333333333,0.101237770236152
0.6,6,16144,10762.6666666667,4,0.0959093914528238
0.61,3,16147,10764.6666666667,2,0.0907665241861226
0.62,15,16162,10774.6666666667,10,0.0858096794712262
0.63,10,16172,10781.3333333333,6.66666666666667,0.0810387735859727
0.64,8,16180,10786.6666666667,5.33333333333333,0.076453160860281
0.65,8,16188,10792,5.33333333333333,0.0720516675311779
0.66,9,16197,10798,6,0.0678326263791722
0.67,4,16201,10800.6666666667,2.66666666666667,0.0637939118909813
0.68,1,16202,10801.3333333333,0.666666666666667,0.0599329757044282
0.69,4,16206,10804,2.66666666666667,0.0562468821034917
0.7,8,16214,10809.3333333333,5.33333333333333,0.0527323433448314
0.71,7,16221,10814,4.66666666666667,0.0493857546114234
0.72,4,16225,10816.6666666667,2.66666666666667,0.0462032284040417
0.73,11,16236,10824,7.33333333333333,0.0431806281970309
0.74,8,16244,10829.3333333333,5.33333333333333,0.0403136012009407
0.75,6,16250,10833.3333333333,4,0.0375976100909733
0.76,8,16258,10838.6666666667,5.33333333333333,0.0350279635766555
0.77,6,16264,10842.6666666667,4,0.032599845704543
0.78,3,16267,10844.6666666667,2,0.0303083438019397
0.79,4,16271,10847.3333333333,2.66666666666667,0.0281484749854465
0.8,6,16277,10851.3333333333,4,0.0261152111735208
0.81,8,16285,10856.6666666667,5.33333333333333,0.0242035025570139
0.82,2,16287,10858,1.33333333333333,0.0224082994957775
0.83,8,16295,10863.3333333333,5.33333333333333,0.0207245728228035
0.84,3,16298,10865.3333333333,2,0.0191473325499162
0.85,3,16301,10867.3333333333,2,0.0176716449807243
0.86,4,16305,10870,2.66666666666667,0.0162926482473129
0.87,6,16311,10874,4,0.0150055662969881
0.88,2,16313,10875.3333333333,1.33333333333333,0.0138057213642618
0.89,8,16321,10880.6666666667,5.33333333333333,0.0126885449711712
0.9,4,16325,10883.3333333333,2.66666666666667,0.0116495875059732
0.91,6,16331,10887.3333333333,4,0.01068452643625
0.92,6,16337,10891.3333333333,4,0.00978917321752966
0.93,3,16340,10893.3333333333,2,0.00895947896269613
0.94,2,16342,10894.6666666667,1.33333333333333,0.00819153894076516
0.95,2,16344,10896,1.33333333333333,0.00748159597608894
0.96,5,16349,10899.3333333333,3.33333333333333,0.00682604282075688
0.97,2,16351,10900.6666666667,1.33333333333333,0.00622142357394175
0.98,2,16353,10902,1.33333333333333,0.0056644342222475
0.99,3,16356,10904,2,0.00515192237480568
1,4,16360,10906.6666666667,2.66666666666667,0.00468088626599486
1.01,3,16363,10908.6666666667,2,0.00424847309728282
1.02,1,16364,10909.3333333333,0.666666666666667,0.00385197678786833
1.03,5,16369,10912.6666666667,3.33333333333333,0.00348883520158696
1.04,2,16371,10914,1.33333333333333,0.00315662691499707
1.05,7,16378,10918.6666666667,4.66666666666667,0.00285306758873372
1.06,4,16382,10921.3333333333,2.66666666666667,0.00257600600115795
1.07,6,16388,10925.3333333333,4,0.00232341980008947
1.08,3,16391,10927.3333333333,2,0.0020934110250349
1.09,4,16395,10930,2.66666666666667,0.00188420144885661
1.1,10,16405,10936.6666666667,6.66666666666667,0.00169412778430797
1.11,1,16406,10937.3333333333,0.666666666666667,0.00152163679732587
1.12,2,16408,10938.6666666667,1.33333333333333,0.00136528036545403
1.13,3,16411,10940.6666666667,2,0.00122371051630027
1.14,1,16412,10941.3333333333,0.666666666666667,0.00109567447753421
1.15,4,16416,10944,2.66666666666667,0.000980009766630852
1.16,1,16417,10944.6666666667,0.666666666666667,0.000875639345380599
1.17,1,16418,10945.3333333333,0.666666666666667,0.000781566861133458
1.18,1,16419,10946,0.666666666666667,0.000696871993837628
1.19,1,16420,10946.6666666667,0.666666666666667,0.000620705925181543
1.2,5,16425,10950,3.33333333333333,0.000552286943561193
1.21,1,16426,10950.6666666667,0.666666666666667,0.000490896196176692
1.24,1,16427,10951.3333333333,0.666666666666667,0.000342562934798529
1.25,3,16430,10953.3333333333,2,0.000303214022990881
1.26,1,16431,10954,0.666666666666667,0.000268104559541879
1.27,5,16436,10957.3333333333,3.33333333333333,0.000236812772613063
1.28,1,16437,10958,0.666666666666667,0.000208954654985088
1.29,3,16440,10960,2,0.000184181066719004
1.3,3,16443,10962,2,0.000162175005992589
1.31,1,16444,10962.6666666667,0.666666666666667,0.00014264904440993
1.32,1,16445,10963.3333333333,0.666666666666667,0.00012534292238985
1.33,2,16447,10964.6666666667,1.33333333333333,0.0001100212996627
1.34,1,16448,10965.3333333333,0.666666666666667,9.64716554366905E-05
1.35,2,16450,10966.6666666667,1.33333333333333,8.45023324256246E-05
1.36,3,16453,10968.6666666667,2,7.39407186507942E-05
1.37,1,16454,10969.3333333333,0.666666666666667,6.46315607325086E-05
1.38,3,16457,10971.3333333333,2,5.64354022628542E-05
1.39,4,16461,10974,2.66666666666667,4.92271407929155E-05
1.4,1,16462,10974.6666666667,0.666666666666667,4.28946969671605E-05
1.42,3,16465,10976.6666666667,2,3.2466808885392E-05
1.44,3,16468,10978.6666666667,2,2.44714456734162E-05
1.45,4,16472,10981.3333333333,2.66666666666667,2.12123432180461E-05
1.46,1,16473,10982,0.666666666666667,1.83680760887405E-05
1.48,2,16475,10983.3333333333,1.33333333333333,1.37294055728815E-05
1.49,3,16478,10985.3333333333,2,1.18512667896477E-05
1.5,1,16479,10986,0.666666666666667,1.02193628744194E-05
1.51,1,16480,10986.6666666667,0.666666666666667,8.80296290262854E-06
1.52,2,16482,10988,1.33333333333333,7.57495274811728E-06
1.53,1,16483,10988.6666666667,0.666666666666667,6.51143920224147E-06
1.54,2,16485,10990,1.33333333333333,5.59139349691252E-06
1.56,2,16487,10991.3333333333,1.33333333333333,4.11002257511493E-06
1.57,2,16489,10992.6666666667,1.33333333333333,3.51823861136833E-06
1.58,1,16490,10993.3333333333,0.666666666666667,3.00851637090352E-06
1.6,1,16491,10994,0.666666666666667,2.19302999721016E-06
1.61,2,16493,10995.3333333333,1.33333333333333,1.86943201861144E-06
1.63,1,16494,10996,0.666666666666667,1.35418469786712E-06
1.65,1,16495,10996.6666666667,0.666666666666667,9.7685510095465E-07
1.69,3,16498,10998.6666666667,2,5.01980337400562E-07
1.7,1,16499,10999.3333333333,0.666666666666667,4.23902383870727E-07
1.71,1,16500,11000,0.666666666666667,3.57594653562748E-07
1.75,2,16502,11001.3333333333,1.33333333333333,1.79205652026011E-07
1.76,1,16503,11002,0.666666666666667,1.50385819842068E-07
1.81,1,16504,11002.6666666667,0.666666666666667,6.16130761473252E-08
1.87,2,16506,11004,1.33333333333333,2.04009444978373E-08
1.89,1,16507,11004.6666666667,0.666666666666667,1.39962205630766E-08
1.91,1,16508,11005.3333333333,0.666666666666667,9.56214450813564E-09
1.93,2,16510,11006.6666666667,1.33333333333333,6.50554745186336E-09
1.96,2,16512,11008,1.33333333333333,3.62219401424249E-09
1.97,1,16513,11008.6666666667,0.666666666666667,2.973671604346E-09
1.98,2,16515,11010,1.33333333333333,2.43871083805617E-09
2,1,16516,11010.6666666667,0.666666666666667,1.63505712156117E-09
2.02,2,16518,11012,1.33333333333333,1.09166546655511E-09
2.05,1,16519,11012.6666666667,0.666666666666667,5.90907600668696E-10
2.06,1,16520,11013.3333333333,0.666666666666667,4.80568080683187E-10
2.1,1,16521,11014,0.666666666666667,2.08044556361627E-10
2.11,1,16522,11014.6666666667,0.666666666666667,1.68314576536768E-10
2.12,1,16523,11015.3333333333,0.666666666666667,1.36029501420313E-10
2.13,3,16526,11017.3333333333,2,1.09822288430325E-10
2.17,1,16527,11018,0.666666666666667,4.61721474586617E-11
2.2,1,16528,11018.6666666667,0.666666666666667,2.38440661944305E-11
2.23,1,16529,11019.3333333333,0.666666666666667,1.21981680395365E-11
2.28,1,16530,11020,0.666666666666667,3.90905583597762E-12
2.32,1,16531,11020.6666666667,0.666666666666667,1.54355383021685E-12
2.33,1,16532,11021.3333333333,0.666666666666667,1.22039176832685E-12
2.34,1,16533,11022,0.666666666666667,9.63879546892517E-13
2.35,1,16534,11022.6666666667,0.666666666666667,7.60487824587966E-13
2.41,1,16535,11023.3333333333,0.666666666666667,1.79463189155717E-13
2.42,1,16536,11024,0.666666666666667,1.40561673500008E-13
2.43,1,16537,11024.6666666667,0.666666666666667,1.09977656853126E-13
2.46,1,16538,11025.3333333333,0.666666666666667,5.23471599913578E-14
2.47,1,16539,11026,0.666666666666667,4.0786335703372E-14
2.49,1,16540,11026.6666666667,0.666666666666667,2.46828801858473E-14
2.53,1,16541,11027.3333333333,0.666666666666667,8.92709569984588E-15
2.54,1,16542,11028,0.666666666666667,6.90484275431485E-15
2.55,1,16543,11028.6666666667,0.666666666666667,5.33511027171756E-15
2.62,1,16544,11029.3333333333,0.666666666666667,8.5184151764448E-16
2.65,1,16545,11030,0.666666666666667,3.82005636002616E-16
2.66,1,16546,11030.6666666667,0.666666666666667,2.91786662731746E-16
2.67,1,16547,11031.3333333333,0.666666666666667,2.22642007189573E-16
2.68,1,16548,11032,0.666666666666667,1.69705057720669E-16
2.69,2,16550,11033.3333333333,1.33333333333333,1.29219622594947E-16
2.73,1,16551,11034,0.666666666666667,4.29856256054621E-17
2.78,3,16554,11036,2,1.0607226717829E-17
2.87,1,16555,11036.6666666667,0.666666666666667,8.00021517832682E-19
2.93,1,16556,11037.3333333333,0.666666666666667,1.36250609405387E-19
3,1,16557,11038,0.666666666666667,1.64737048099342E-20
3.03,1,16558,11038.6666666667,0.666666666666667,6.55762921444374E-21
3.08,1,16559,11039.3333333333,0.666666666666667,1.38333147722723E-21
3.12,1,16560,11040,0.666666666666667,3.90928990031879E-22
3.14,1,16561,11040.6666666667,0.666666666666667,2.06518859848727E-22
3.15,1,16562,11041.3333333333,0.666666666666667,1.49868253881091E-22
3.18,1,16563,11042,0.666666666666667,5.69161434622553E-23
3.19,1,16564,11042.6666666667,0.666666666666667,4.11310139192733E-23
3.28,2,16566,11044,1.33333333333333,2.10933328870683E-24
3.44,1,16567,11044.6666666667,0.666666666666667,8.70903238503906E-27
3.54,1,16568,11045.3333333333,0.666666666666667,2.45946721623334E-28
3.6,1,16569,11046,0.666666666666667,2.75151556728922E-29
3.61,1,16570,11046.6666666667,0.666666666666667,1.90299719897712E-29
3.63,1,16571,11047.3333333333,0.666666666666667,9.07420350093946E-30
3.67,1,16572,11048,0.666666666666667,2.03751732440301E-30
3.77,2,16574,11049.3333333333,1.33333333333333,4.52432373762481E-32
3.79,1,16575,11050,0.666666666666667,2.08639344751425E-32
3.81,1,16576,11050.6666666667,0.666666666666667,9.5812631524484E-33
3.84,1,16577,11051.3333333333,0.666666666666667,2.95840512298831E-33
3.96,1,16578,11052,0.666666666666667,2.44758418007899E-35
4.1,1,16579,11052.6666666667,0.666666666666667,7.52899949872636E-38
4.13,2,16581,11054,1.33333333333333,2.12263153109307E-38
4.16,1,16582,11054.6666666667,0.666666666666667,5.92824307230021E-39
4.18,1,16583,11055.3333333333,0.666666666666667,2.51974711530718E-39
4.22,1,16584,11056,0.666666666666667,4.49542678944515E-40
4.34,1,16585,11056.6666666667,0.666666666666667,2.30902885933417E-42
4.35,1,16586,11057.3333333333,0.666666666666667,1.47808677671742E-42
4.36,1,16587,11058,0.666666666666667,9.45184318842529E-43
4.7,1,16588,11058.6666666667,0.666666666666667,1.26809934757771E-49
4.87,1,16589,11059.3333333333,0.666666666666667,2.95233057628082E-53
5.32,1,16590,11060,0.666666666666667,1.66000244477003E-63
5.33,1,16591,11060.6666666667,0.666666666666667,9.59152852669662E-64
5.38,1,16592,11061.3333333333,0.666666666666667,6.08097725187415E-65
5.65,1,16593,11062,0.666666666666667,1.31555706942647E-71
6.04,1,16594,11062.6666666667,0.666666666666667,8.08710822511331E-82
6.5,1,16595,11063.3333333333,0.666666666666667,9.46491879553674E-95
6.81,1,16596,11064,0.666666666666667,5.24141930225828E-104
7.2,1,16597,11064.6666666667,0.666666666666667,2.84616893241145E-116
10.22,1,16598,11065.3333333333,0.666666666666667,1.261933352831E-234
